2022-02-21 22:56:46 startup archives install
2022-02-21 22:56:51 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status half-configured libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status installed libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 configure libtinfo6:amd64 6.2-0ubuntu2 <none>
2022-02-21 22:56:51 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status half-configured libtinfo6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status installed libtinfo6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 configure bash:amd64 5.0-6ubuntu1 <none>
2022-02-21 22:56:51 status unpacked bash:amd64 5.0-6ubuntu1
2022-02-21 22:56:51 status half-configured bash:amd64 5.0-6ubuntu1
2022-02-21 22:56:51 status installed bash:amd64 5.0-6ubuntu1
2022-02-21 22:56:51 configure libzstd1:amd64 1.4.4+dfsg-3 <none>
2022-02-21 22:56:51 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2022-02-21 22:56:51 status half-configured libzstd1:amd64 1.4.4+dfsg-3
2022-02-21 22:56:51 status installed libzstd1:amd64 1.4.4+dfsg-3
2022-02-21 22:56:51 configure liblzma5:amd64 5.2.4-1 <none>
2022-02-21 22:56:51 status unpacked liblzma5:amd64 5.2.4-1
2022-02-21 22:56:51 status half-configured liblzma5:amd64 5.2.4-1
2022-02-21 22:56:51 status installed liblzma5:amd64 5.2.4-1
2022-02-21 22:56:51 configure libgpg-error0:amd64 1.37-1 <none>
2022-02-21 22:56:51 status unpacked libgpg-error0:amd64 1.37-1
2022-02-21 22:56:51 status half-configured libgpg-error0:amd64 1.37-1
2022-02-21 22:56:51 status installed libgpg-error0:amd64 1.37-1
2022-02-21 22:56:51 configure liblz4-1:amd64 1.9.2-2 <none>
2022-02-21 22:56:51 status unpacked liblz4-1:amd64 1.9.2-2
2022-02-21 22:56:51 status half-configured liblz4-1:amd64 1.9.2-2
2022-02-21 22:56:51 status installed liblz4-1:amd64 1.9.2-2
2022-02-21 22:56:51 configure libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:56:51 status unpacked libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:51 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:51 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:51 configure ncurses-bin:amd64 6.2-0ubuntu2 <none>
2022-02-21 22:56:51 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status half-configured ncurses-bin:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status installed ncurses-bin:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 configure libacl1:amd64 2.2.53-6 <none>
2022-02-21 22:56:51 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:51 status unpacked libacl1:amd64 2.2.53-6
2022-02-21 22:56:51 status half-configured libacl1:amd64 2.2.53-6
2022-02-21 22:56:51 status installed libacl1:amd64 2.2.53-6
2022-02-21 22:56:51 configure libsmartcols1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:56:51 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status half-configured libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status installed libsmartcols1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 configure libgcrypt20:amd64 1.8.5-5ubuntu1 <none>
2022-02-21 22:56:51 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:56:51 status half-configured libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:56:51 status installed libgcrypt20:amd64 1.8.5-5ubuntu1
2022-02-21 22:56:51 configure zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1 <none>
2022-02-21 22:56:51 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:56:51 status half-configured zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:56:51 status installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2022-02-21 22:56:51 configure libcom-err2:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:56:51 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status half-configured libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status installed libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 configure diffutils:amd64 1:3.7-3 <none>
2022-02-21 22:56:51 status unpacked diffutils:amd64 1:3.7-3
2022-02-21 22:56:51 status half-configured diffutils:amd64 1:3.7-3
2022-02-21 22:56:51 status installed diffutils:amd64 1:3.7-3
2022-02-21 22:56:51 configure libsystemd0:amd64 245.4-4ubuntu3 <none>
2022-02-21 22:56:51 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2022-02-21 22:56:51 status half-configured libsystemd0:amd64 245.4-4ubuntu3
2022-02-21 22:56:51 status installed libsystemd0:amd64 245.4-4ubuntu3
2022-02-21 22:56:51 configure hostname:amd64 3.23 <none>
2022-02-21 22:56:51 status unpacked hostname:amd64 3.23
2022-02-21 22:56:51 status half-configured hostname:amd64 3.23
2022-02-21 22:56:51 status installed hostname:amd64 3.23
2022-02-21 22:56:51 configure libpcre3:amd64 2:8.39-12build1 <none>
2022-02-21 22:56:51 status unpacked libpcre3:amd64 2:8.39-12build1
2022-02-21 22:56:51 status half-configured libpcre3:amd64 2:8.39-12build1
2022-02-21 22:56:51 status installed libpcre3:amd64 2:8.39-12build1
2022-02-21 22:56:51 configure libcap-ng0:amd64 0.7.9-2.1build1 <none>
2022-02-21 22:56:51 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:56:51 status half-configured libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:56:51 status installed libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:56:51 configure libext2fs2:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:56:51 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status half-configured libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status installed libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 configure libncurses6:amd64 6.2-0ubuntu2 <none>
2022-02-21 22:56:51 status unpacked libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status half-configured libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status installed libncurses6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 configure libaudit1:amd64 1:2.8.5-2ubuntu6 <none>
2022-02-21 22:56:51 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:56:51 status half-configured libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:56:51 status installed libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:56:51 configure libuuid1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:56:51 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status half-configured libuuid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status installed libuuid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 configure libss2:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:56:51 status unpacked libss2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status half-configured libss2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status installed libss2:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 configure libpcre2-8-0:amd64 10.34-7 <none>
2022-02-21 22:56:51 status unpacked libpcre2-8-0:amd64 10.34-7
2022-02-21 22:56:51 status half-configured libpcre2-8-0:amd64 10.34-7
2022-02-21 22:56:51 status installed libpcre2-8-0:amd64 10.34-7
2022-02-21 22:56:51 configure libncursesw6:amd64 6.2-0ubuntu2 <none>
2022-02-21 22:56:51 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status half-configured libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 status installed libncursesw6:amd64 6.2-0ubuntu2
2022-02-21 22:56:51 configure logsave:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:56:51 status unpacked logsave:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status half-configured logsave:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status installed logsave:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 configure libfdisk1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:56:51 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status half-configured libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status installed libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 configure libprocps8:amd64 2:3.3.16-1ubuntu2 <none>
2022-02-21 22:56:51 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:56:51 status half-configured libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:56:51 status installed libprocps8:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:56:51 configure bsdutils:amd64 1:2.34-0.1ubuntu9 <none>
2022-02-21 22:56:51 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-21 22:56:51 status half-configured bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-21 22:56:51 status installed bsdutils:amd64 1:2.34-0.1ubuntu9
2022-02-21 22:56:51 configure e2fsprogs:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:56:51 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status half-configured e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 status installed e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:56:51 configure libselinux1:amd64 3.0-1build2 <none>
2022-02-21 22:56:51 status unpacked libselinux1:amd64 3.0-1build2
2022-02-21 22:56:51 status half-configured libselinux1:amd64 3.0-1build2
2022-02-21 22:56:51 status installed libselinux1:amd64 3.0-1build2
2022-02-21 22:56:51 configure sed:amd64 4.7-1 <none>
2022-02-21 22:56:51 status unpacked sed:amd64 4.7-1
2022-02-21 22:56:51 status half-configured sed:amd64 4.7-1
2022-02-21 22:56:51 status installed sed:amd64 4.7-1
2022-02-21 22:56:51 configure findutils:amd64 4.7.0-1ubuntu1 <none>
2022-02-21 22:56:51 status unpacked findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:56:51 status half-configured findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:56:51 status installed findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:56:51 configure libmount1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:56:51 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status half-configured libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status installed libmount1:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 configure libsemanage1:amd64 3.0-1build2 <none>
2022-02-21 22:56:51 status unpacked libsemanage1:amd64 3.0-1build2
2022-02-21 22:56:51 status half-configured libsemanage1:amd64 3.0-1build2
2022-02-21 22:56:51 status installed libsemanage1:amd64 3.0-1build2
2022-02-21 22:56:51 configure tar:amd64 1.30+dfsg-7 <none>
2022-02-21 22:56:51 status unpacked tar:amd64 1.30+dfsg-7
2022-02-21 22:56:51 status half-configured tar:amd64 1.30+dfsg-7
2022-02-21 22:56:51 status installed tar:amd64 1.30+dfsg-7
2022-02-21 22:56:51 configure coreutils:amd64 8.30-3ubuntu2 <none>
2022-02-21 22:56:51 status unpacked coreutils:amd64 8.30-3ubuntu2
2022-02-21 22:56:51 status half-configured coreutils:amd64 8.30-3ubuntu2
2022-02-21 22:56:51 status installed coreutils:amd64 8.30-3ubuntu2
2022-02-21 22:56:51 configure fdisk:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:56:51 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status half-configured fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 status installed fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:51 configure dpkg:amd64 1.19.7ubuntu3 <none>
2022-02-21 22:56:51 status unpacked dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:56:51 status half-configured dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:56:51 status installed dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:56:51 configure grep:amd64 3.4-1 <none>
2022-02-21 22:56:51 status unpacked grep:amd64 3.4-1
2022-02-21 22:56:51 status half-configured grep:amd64 3.4-1
2022-02-21 22:56:51 status installed grep:amd64 3.4-1
2022-02-21 22:56:51 configure perl-base:amd64 5.30.0-9build1 <none>
2022-02-21 22:56:51 status unpacked perl-base:amd64 5.30.0-9build1
2022-02-21 22:56:51 status half-configured perl-base:amd64 5.30.0-9build1
2022-02-21 22:56:51 status installed perl-base:amd64 5.30.0-9build1
2022-02-21 22:56:51 configure init-system-helpers:all 1.57 <none>
2022-02-21 22:56:51 status unpacked init-system-helpers:all 1.57
2022-02-21 22:56:51 status half-configured init-system-helpers:all 1.57
2022-02-21 22:56:51 status installed init-system-helpers:all 1.57
2022-02-21 22:56:51 configure gzip:amd64 1.10-0ubuntu4 <none>
2022-02-21 22:56:51 status unpacked gzip:amd64 1.10-0ubuntu4
2022-02-21 22:56:51 status half-configured gzip:amd64 1.10-0ubuntu4
2022-02-21 22:56:51 status installed gzip:amd64 1.10-0ubuntu4
2022-02-21 22:56:51 configure procps:amd64 2:3.3.16-1ubuntu2 <none>
2022-02-21 22:56:51 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:56:51 status half-configured procps:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:56:51 status installed procps:amd64 2:3.3.16-1ubuntu2
2022-02-21 22:56:51 configure debconf:all 1.5.73 <none>
2022-02-21 22:56:51 status unpacked debconf:all 1.5.73
2022-02-21 22:56:51 status half-configured debconf:all 1.5.73
2022-02-21 22:56:51 status installed debconf:all 1.5.73
2022-02-21 22:56:51 configure libpam0g:amd64 1.3.1-5ubuntu4 <none>
2022-02-21 22:56:51 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:51 status half-configured libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:51 status installed libpam0g:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:51 configure dash:amd64 0.5.10.2-6 <none>
2022-02-21 22:56:51 status unpacked dash:amd64 0.5.10.2-6
2022-02-21 22:56:51 status half-configured dash:amd64 0.5.10.2-6
2022-02-21 22:56:51 status installed dash:amd64 0.5.10.2-6
2022-02-21 22:56:51 configure libpam-modules-bin:amd64 1.3.1-5ubuntu4 <none>
2022-02-21 22:56:51 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:51 status half-configured libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:51 status installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:51 configure libpam-modules:amd64 1.3.1-5ubuntu4 <none>
2022-02-21 22:56:51 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:52 status half-configured libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:52 status installed libpam-modules:amd64 1.3.1-5ubuntu4
2022-02-21 22:56:52 configure passwd:amd64 1:4.8.1-1ubuntu5 <none>
2022-02-21 22:56:52 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:56:52 status half-configured passwd:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:56:52 status installed passwd:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:56:52 configure libpam-runtime:all 1.3.1-5ubuntu4 <none>
2022-02-21 22:56:52 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:56:52 status half-configured libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:56:52 status installed libpam-runtime:all 1.3.1-5ubuntu4
2022-02-21 22:56:52 configure login:amd64 1:4.8.1-1ubuntu5 <none>
2022-02-21 22:56:52 status unpacked login:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:56:52 status half-configured login:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:56:52 status installed login:amd64 1:4.8.1-1ubuntu5
2022-02-21 22:56:52 configure util-linux:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:56:52 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:52 status half-configured util-linux:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:52 status installed util-linux:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:52 configure mount:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:56:52 status unpacked mount:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:52 status half-configured mount:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:52 status installed mount:amd64 2.34-0.1ubuntu9
2022-02-21 22:56:52 configure sysvinit-utils:amd64 2.96-2.1ubuntu1 <none>
2022-02-21 22:56:52 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2022-02-21 22:56:52 status half-configured sysvinit-utils:amd64 2.96-2.1ubuntu1
2022-02-21 22:56:52 status installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2022-02-21 22:56:52 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:56:52 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:52 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:52 startup archives unpack
2022-02-21 22:56:52 install adduser:all <none> 3.118ubuntu2
2022-02-21 22:56:52 status half-installed adduser:all 3.118ubuntu2
2022-02-21 22:56:52 status unpacked adduser:all 3.118ubuntu2
2022-02-21 22:56:52 install apt:amd64 <none> 2.0.2
2022-02-21 22:56:52 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:52 status half-installed apt:amd64 2.0.2
2022-02-21 22:56:52 status unpacked apt:amd64 2.0.2
2022-02-21 22:56:52 install bzip2:amd64 <none> 1.0.8-2
2022-02-21 22:56:52 status half-installed bzip2:amd64 1.0.8-2
2022-02-21 22:56:52 status unpacked bzip2:amd64 1.0.8-2
2022-02-21 22:56:52 install gpgv:amd64 <none> 2.2.19-3ubuntu2
2022-02-21 22:56:52 status half-installed gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:56:52 status unpacked gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:56:52 install libapt-pkg6.0:amd64 <none> 2.0.2
2022-02-21 22:56:52 status half-installed libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:56:52 status unpacked libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:56:52 install libffi7:amd64 <none> 3.3-4
2022-02-21 22:56:52 status half-installed libffi7:amd64 3.3-4
2022-02-21 22:56:52 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:56:52 install libgmp10:amd64 <none> 2:6.2.0+dfsg-4
2022-02-21 22:56:52 status half-installed libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:56:52 status unpacked libgmp10:amd64 2:6.2.0+dfsg-4
2022-02-21 22:56:52 install libgnutls30:amd64 <none> 3.6.13-2ubuntu1
2022-02-21 22:56:52 status half-installed libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:56:52 status unpacked libgnutls30:amd64 3.6.13-2ubuntu1
2022-02-21 22:56:52 install libhogweed5:amd64 <none> 3.5.1+really3.5.1-2
2022-02-21 22:56:52 status half-installed libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:56:53 status unpacked libhogweed5:amd64 3.5.1+really3.5.1-2
2022-02-21 22:56:53 install libidn2-0:amd64 <none> 2.2.0-2
2022-02-21 22:56:53 status half-installed libidn2-0:amd64 2.2.0-2
2022-02-21 22:56:53 status unpacked libidn2-0:amd64 2.2.0-2
2022-02-21 22:56:53 install libnettle7:amd64 <none> 3.5.1+really3.5.1-2
2022-02-21 22:56:53 status half-installed libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:56:53 status unpacked libnettle7:amd64 3.5.1+really3.5.1-2
2022-02-21 22:56:53 install libp11-kit0:amd64 <none> 0.23.20-1build1
2022-02-21 22:56:53 status half-installed libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:56:53 status unpacked libp11-kit0:amd64 0.23.20-1build1
2022-02-21 22:56:53 install libseccomp2:amd64 <none> 2.4.3-1ubuntu1
2022-02-21 22:56:53 status half-installed libseccomp2:amd64 2.4.3-1ubuntu1
2022-02-21 22:56:53 status unpacked libseccomp2:amd64 2.4.3-1ubuntu1
2022-02-21 22:56:53 install libstdc++6:amd64 <none> 10-20200411-0ubuntu1
2022-02-21 22:56:53 status half-installed libstdc++6:amd64 10-20200411-0ubuntu1
2022-02-21 22:56:53 status unpacked libstdc++6:amd64 10-20200411-0ubuntu1
2022-02-21 22:56:53 install libtasn1-6:amd64 <none> 4.16.0-2
2022-02-21 22:56:53 status half-installed libtasn1-6:amd64 4.16.0-2
2022-02-21 22:56:53 status unpacked libtasn1-6:amd64 4.16.0-2
2022-02-21 22:56:53 install libunistring2:amd64 <none> 0.9.10-2
2022-02-21 22:56:53 status half-installed libunistring2:amd64 0.9.10-2
2022-02-21 22:56:53 status unpacked libunistring2:amd64 0.9.10-2
2022-02-21 22:56:53 install ubuntu-keyring:all <none> 2020.02.11.2
2022-02-21 22:56:53 status half-installed ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:56:53 status unpacked ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:56:53 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:56:53 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:53 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:53 startup packages configure
2022-02-21 22:56:53 configure adduser:all 3.118ubuntu2 <none>
2022-02-21 22:56:53 status unpacked adduser:all 3.118ubuntu2
2022-02-21 22:56:53 status half-configured adduser:all 3.118ubuntu2
2022-02-21 22:56:53 status installed adduser:all 3.118ubuntu2
2022-02-21 22:56:53 configure libffi7:amd64 3.3-4 <none>
2022-02-21 22:56:53 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:56:53 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:56:53 status half-configured libffi7:amd64 3.3-4
2022-02-21 22:56:53 status installed libffi7:amd64 3.3-4
2022-02-21 22:56:53 configure libunistring2:amd64 0.9.10-2 <none>
2022-02-21 22:56:53 status unpacked libunistring2:amd64 0.9.10-2
2022-02-21 22:56:53 status half-configured libunistring2:amd64 0.9.10-2
2022-02-21 22:56:53 status installed libunistring2:amd64 0.9.10-2
2022-02-21 22:56:53 configure libidn2-0:amd64 2.2.0-2 <none>
2022-02-21 22:56:53 status unpacked libidn2-0:amd64 2.2.0-2
2022-02-21 22:56:53 status half-configured libidn2-0:amd64 2.2.0-2
2022-02-21 22:56:53 status installed libidn2-0:amd64 2.2.0-2
2022-02-21 22:56:53 configure bzip2:amd64 1.0.8-2 <none>
2022-02-21 22:56:53 status unpacked bzip2:amd64 1.0.8-2
2022-02-21 22:56:53 status half-configured bzip2:amd64 1.0.8-2
2022-02-21 22:56:53 status installed bzip2:amd64 1.0.8-2
2022-02-21 22:56:53 configure ubuntu-keyring:all 2020.02.11.2 <none>
2022-02-21 22:56:53 status unpacked ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:56:53 status half-configured ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:56:53 status installed ubuntu-keyring:all 2020.02.11.2
2022-02-21 22:56:53 configure libseccomp2:amd64 2.4.3-1ubuntu1 <none>
2022-02-21 22:56:53 status unpacked libseccomp2:amd64 2.4.3-1ubuntu1
2022-02-21 22:56:53 status half-configured libseccomp2:amd64 2.4.3-1ubuntu1
